speech_id,sentence_index,sentence,word_count,avg_syllables_per_word,rare_word_ratio,abstract_word_ratio,word_count_transformed,word_count_scaled,abstract_word_ratio_transformed,abstract_word_ratio_scaled,avg_syllables_per_word_transformed,avg_syllables_per_word_scaled,rare_word_ratio_scaled,avg_syllables_scaled,abstract_word_ratio_winsorized,linguistic_elevation_score,elevation_zscore,elevation_state,state_code
"#MLK _ But, If Not_sentences",0,"But, if not, there was a day when many of the Israelites found themselves in bondage in Babylon.",18,1.5,0.2222222222222222,0.0,2.9444389791664403,0.640775230069396,0.0,0.0,0.9162907318741551,0.569323441926607,0.2222222222222222,0.569323441926607,0.0,0.37276392407280684,-0.35556024521390656,Medium,M
"#MLK _ But, If Not_sentences",1,There was a king of Babylon by the name of Nebuchadnezzar.,11,1.5454545454545454,0.36363636363636365,0.0,2.4849066497880004,0.5407708026843344,0.0,0.0,0.9343092373768334,0.5805189688639756,0.36363636363636365,0.5805189688639756,0.0,0.3874259436690045,-0.14148176761040196,Medium,M
"#MLK _ But, If Not_sentences",2,You read about him a good deal in the Book of Daniel and it stands as an epic that will remain stencil on the mental sheets of unfolding generations.,29,1.3793103448275863,0.3448275862068966,0.034482758620689655,3.4011973816621555,0.7401759894385639,0.033901551675681346,0.048909600480946405,0.8668106746107854,0.5385797537848653,0.3448275862068966,0.5385797537848653,0.034482758620689655,0.44299894354680047,0.6699332718827639,Sophisticated,H
"#MLK _ But, If Not_sentences",3,Nebuchadnezzar was a mighty king and when he ruled he ruled and when he issued an order he meant business.,20,1.55,0.35,0.0,3.044522437723423,0.6625556105210727,0.0,0.0,0.9360933591703348,0.5816275060617871,0.35,0.5816275060617871,0.0,0.42009218436867923,0.33547429100989534,Medium,M
"#MLK _ But, If Not_sentences",4,Nebuchadnezzar issued an order.,4,2.5,0.75,0.0,1.6094379124341003,0.35024938737712363,0.0,0.0,1.252762968495368,0.7783853970487746,0.75,0.7783853970487746,0.0,0.485751895622892,1.2941642540783405,Sophisticated,H
"#MLK _ But, If Not_sentences",5,He made a golden image and his order was that everybody under the reign of his kingship had to bow before that golden image and worship it.,27,1.4814814814814814,0.3333333333333333,0.037037037037037035,3.332204510175204,0.7251616103283148,0.03636764417087485,0.05246741989413556,0.9088557533866369,0.5647038300546128,0.3333333333333333,0.5647038300546128,0.037037037037037035,0.4409827330882441,0.6404948126947849,Sophisticated,H
"#MLK _ But, If Not_sentences",6,Now those of you who read the Bible remember that story.,11,1.2727272727272727,0.2727272727272727,0.0,2.4849066497880004,0.5407708026843344,0.0,0.0,0.8209805520698302,0.510103897595022,0.2727272727272727,0.510103897595022,0.0,0.3460702021424865,-0.745312237763161,Simple,S
"#MLK _ But, If Not_sentences",7,"One day Nebuchadnezzar called in the judges and the governors and the sheriffs and they had a dedicatory service for this golden image and then he said to them, I'm instructing you to see that everybody bows before this golden image, but I was three young men around there.",49,1.530612244897959,0.2653061224489796,0.02040816326530612,3.912023005428146,0.8513429753771414,0.02020270731751945,0.029146345659516484,0.9284612674944102,0.5768854208797736,0.2653061224489796,0.5768854208797736,0.02040816326530612,0.4562010826556943,0.8626962008229645,Sophisticated,H
"#MLK _ But, If Not_sentences",8,One's name was Shadrach.,4,1.5,0.75,0.0,1.6094379124341003,0.35024938737712363,0.0,0.0,0.9162907318741551,0.569323441926607,0.75,0.569323441926607,0.0,0.4439395045984585,0.6836662966349827,Sophisticated,H
"#MLK _ But, If Not_sentences",9,"The other one's name was Meshach and the other name was Abednego and they answered and I read it from the scripture and said to the king, oh Nebuchadnezzar, we are not careful to answer the in this manner.",39,1.4615384615384615,0.28205128205128205,0.02564102564102564,3.6888794541139363,0.802781989245806,0.025317807984289873,0.03652587602511401,0.9007865453381898,0.559690149199883,0.28205128205128205,0.559690149199883,0.02564102564102564,0.4446931864341258,0.6946707192466477,Sophisticated,H
"#MLK _ But, If Not_sentences",10,"If it be so, our God whom we serve is able to deliver us from the burning fire of funnest and he will deliver us out of thine hand, O King, but if not be it known unto the O King that we will not serve thy God.",48,1.1458333333333333,0.375,0.041666666666666664,3.8918202981106265,0.8469464181650531,0.040821994520255124,0.05889368905356851,0.7635279773217448,0.47440660582363914,0.375,0.47440660582363914,0.041666666666666664,0.47324398442495746,1.1115376677690398,Sophisticated,H
"#MLK _ But, If Not_sentences",11,Now what should the golden image which thou hast set up?,11,1.1818181818181819,0.45454545454545453,0.0,2.4849066497880004,0.5407708026843344,0.0,0.0,0.7801585575495751,0.4847397663011864,0.45454545454545453,0.4847397663011864,0.0,0.395542830429174,-0.02296802882452886,Medium,M
"#MLK _ But, If Not_sentences",12,Now I want you to notice first here that these young men practiced civil disobedience.,15,1.4666666666666666,0.26666666666666666,0.0,2.772588722239781,0.6033768024915765,0.0,0.0,0.9028677115420143,0.560983250466944,0.26666666666666666,0.560983250466944,0.0,0.3732096908408618,-0.3490516554220753,Medium,M
